2026-07-09 10:08:28 +05 СООБЩЕНИЕ:  система БД была выключена: 2026-07-09 02:46:11 +05
2026-07-09 10:13:28 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 10:13:28 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 2; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.040 сек., всего=0.152 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.029 сек., средняя=0.014 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/1A750B58, lsn redo=0/1A750B00
2026-07-09 11:23:28 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 11:23:29 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.659 сек., синхр.=0.146 сек., всего=0.928 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.026 сек., средняя=0.021 сек.; расстояние=3 КБ, ожидалось=3 КБ; lsn=0/1A7517C8, lsn redo=0/1A751770
2026-07-09 11:28:28 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 11:28:41 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 105 (0.6%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=11.659 сек., синхр.=0.703 сек., всего=12.487 сек.; синхронизировано_файлов=65, самая_долгая_синхр.=0.055 сек., средняя=0.011 сек.; расстояние=205 КБ, ожидалось=205 КБ; lsn=0/1A789228, lsn redo=0/1A784C50
2026-07-09 11:33:28 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 11:33:30 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.551 сек., синхр.=0.237 сек., всего=1.906 сек.; синхронизировано_файлов=15, самая_долгая_синхр.=0.026 сек., средняя=0.016 сек.; расстояние=26 КБ, ожидалось=187 КБ; lsn=0/1A78B6C0, lsn redo=0/1A78B668
2026-07-09 11:38:28 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 11:38:29 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.876 сек., синхр.=0.239 сек., всего=1.252 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.055 сек., средняя=0.030 сек.; расстояние=24 КБ, ожидалось=171 КБ; lsn=0/1A7917D8, lsn redo=0/1A791780
2026-07-09 16:23:29 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 16:23:30 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.107 сек., синхр.=0.240 сек., всего=1.476 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.087 сек., средняя=0.027 сек.; расстояние=33 КБ, ожидалось=157 КБ; lsn=0/1A799F00, lsn redo=0/1A799E70
2026-07-09 16:28:29 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 16:28:32 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.324 сек., синхр.=0.572 сек., всего=3.020 сек.; синхронизировано_файлов=18, самая_долгая_синхр.=0.076 сек., средняя=0.032 сек.; расстояние=68 КБ, ожидалось=148 КБ; lsn=0/1A7AB148, lsn redo=0/1A7AB0B8
2026-07-09 16:53:29 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2026-07-09 16:53:31 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 9 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.971 сек., синхр.=0.325 сек., всего=1.425 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.075 сек., средняя=0.037 сек.; расстояние=25 КБ, ожидалось=136 КБ; lsn=0/1A7B1558, lsn redo=0/1A7B1500
